n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
Some,Some,4,R H J F,JHRF,high_load,Some,red,green,5,3,2,5,green,green,green,green,null,null,400,150,200,150,300,250,300,50
Some,Some,4,J R F B,FRJB,high_load,Some,red,yellow,5,1,5,1,red,red,yellow,yellow,partial,partial,400,150,200,150,300,250,300,50
Some,Some,4,Q J L H,LJQH,high_load,Some,blue,red,4,4,2,2,blue,blue,red,red,partial,partial,300,50,300,250,400,150,200,150
Some,Some,4,F M H L,HMFL,high_load,Some,blue,red,5,6,1,1,blue,blue,blue,blue,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,4,M B X F,XBMF,high_load,Some,green,blue,2,5,6,2,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,4,R F L M,LFRM,high_load,Some,red,gray,1,5,6,3,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,4,H Q R J,RQHJ,high_load,Some,green,purple,4,3,2,3,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,4,R F H X,HFRX,high_load,All,blue,green,2,6,1,6,blue,blue,green,green,partial,partial,400,150,200,150,300,250,300,50
All,All,4,Q R L X,LRQX,high_load,All,blue,yellow,5,3,1,4,blue,blue,yellow,yellow,partial,partial,400,150,200,150,300,250,300,50
All,All,4,F L J M,JLFM,high_load,All,green,yellow,4,3,5,4,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,4,B F H Q,HFBQ,high_load,All,red,green,3,1,5,3,red,red,red,red,total_target,total_target,300,50,300,250,400,150,200,150
2,filler_item,4,F Q R X,RQFX,high_load,2,blue,yellow,1,4,3,6,blue,yellow,yellow,yellow,filler_item,filler_item,400,150,200,150,300,250,300,50
8,filler_item,4,Q L F J,FLQJ,high_load,8,blue,black,2,6,2,4,blue,blue,black,black,filler_item,filler_item,300,50,300,250,400,150,200,150
10,filler_item,4,X F J R,JFXR,high_load,10,blue,red,5,1,6,1,blue,blue,red,red,filler_item,filler_item,300,50,300,250,400,150,200,150
12,filler_item,4,H R L F,LRHF,high_load,12,red,green,6,6,1,3,red,red,green,green,filler_item,filler_item,400,150,200,150,300,250,300,50
Between 3 and 5,filler_item,4,H B L J,LBHJ,high_load,Between 3 and 5,red,gray,6,2,5,3,red,red,gray,gray,filler_item,filler_item,300,50,300,250,400,150,200,150
More than 2,filler_item,4,Q F J X,JFQX,high_load,More than 2,green,red,1,6,2,3,green,red,red,red,filler_item,filler_item,300,50,300,250,400,150,200,150
4,number,5,M F B J,BFMJ,high_load,4,blue,black,1,6,3,3,blue,black,black,black,inferior,n-3,300,50,300,250,400,150,200,150
