n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
Some,Some,5,J F Q,QFJ,high_load,Some,red,black,2,3,5,5,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
All,All,5,F J R,RJF,high_load,All,red,black,6,1,5,3,black,black,black,black,null,null,300,50,300,250,400,150,200,150
All,All,5,R X J,JXR,high_load,All,green,purple,3,5,1,4,purple,purple,purple,purple,null,null,400,150,200,150,300,250,300,50
All,All,5,J H R,RHJ,high_load,All,red,yellow,1,4,5,5,red,red,yellow,yellow,partial,partial,400,150,200,150,300,250,300,50
All,All,5,M R Q,QRM,high_load,All,blue,black,5,1,4,4,blue,blue,black,black,partial,partial,400,150,200,150,300,250,300,50
All,All,5,X F H,HFX,high_load,All,green,black,2,5,1,5,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,5,R Q L,LQR,high_load,All,red,yellow,2,3,2,5,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
2,filler_item,5,B X Q,QXB,high_load,Two,red,yellow,1,5,5,4,red,yellow,yellow,yellow,filler_item,filler_item,400,150,200,150,300,250,300,50
8,filler_item,5,B Q R,RQB,high_load,Eight,green,blue,3,5,3,2,green,green,blue,blue,filler_item,filler_item,400,150,200,150,300,250,300,50
10,filler_item,5,J Q R,RQJ,high_load,Six,green,black,5,1,3,5,green,green,black,black,filler_item,filler_item,300,50,300,250,400,150,200,150
12,filler_item,5,X L J,JLX,high_load,Twelve,red,gray,6,6,3,1,red,red,gray,gray,filler_item,filler_item,400,150,200,150,300,250,300,50
